x1,y1,x2,y2vx1,vy1,vx2,vy2
0, 1, 0, -0.5, 0.8, 0, -0.4, 0
0.008, 0.999956, -0.004, -0.499978, 0.8, -0.00888889, -0.4, 0.00444444
0.0159993, 0.999822, -0.00799964, -0.499911, 0.799929, -0.0177777, -0.399964, 0.00888886
0.0239972, 0.9996, -0.0119986, -0.4998, 0.799787, -0.0266664, -0.399893, 0.0133332
0.0319929, 0.999289, -0.0159964, -0.499644, 0.799573, -0.0355547, -0.399787, 0.0177773
0.0399858, 0.998889, -0.0199929, -0.499444, 0.799289, -0.0444425, -0.399644, 0.0222213
0.0479751, 0.9984, -0.0239876, -0.4992, 0.798933, -0.0533298, -0.399466, 0.0266649
0.0559602, 0.997822, -0.0279801, -0.498911, 0.798506, -0.0622165, -0.399253, 0.0311082
0.0639402, 0.997156, -0.0319701, -0.498578, 0.798008, -0.0711022, -0.399004, 0.0355511
0.0719146, 0.9964, -0.0359573, -0.4982, 0.797438, -0.079987, -0.398719, 0.0399935
0.0798826, 0.995556, -0.0399413, -0.497778, 0.796797, -0.0888708, -0.398398, 0.0444354
0.0878434, 0.994623, -0.0439217, -0.497311, 0.796084, -0.0977533, -0.398042, 0.0488766
0.0957964, 0.993601, -0.0478982, -0.496801, 0.7953, -0.106634, -0.39765, 0.0533172
0.103741, 0.99249, -0.0518704, -0.496245, 0.794443, -0.115514, -0.397222, 0.057757
0.111676, 0.991291, -0.055838, -0.495645, 0.793516, -0.124392, -0.396758, 0.062196
0.119601, 0.990003, -0.0598006, -0.495001, 0.792516, -0.133268, -0.396258, 0.0666342
0.127516, 0.988626, -0.0637578, -0.494313, 0.791443, -0.142143, -0.395722, 0.0710713
0.135419, 0.98716, -0.0677093, -0.49358, 0.790299, -0.151015, -0.39515, 0.0755075
0.143309, 0.985606, -0.0716547, -0.492803, 0.789082, -0.159885, -0.394541, 0.0799425
0.151187, 0.983963, -0.0755937, -0.491981, 0.787793, -0.168753, -0.393896, 0.0843764
0.159052, 0.982231, -0.0795258, -0.491115, 0.786431, -0.177618, -0.393215, 0.088809
0.166902, 0.98041, -0.0834508, -0.490205, 0.784996, -0.186481, -0.392498, 0.0932403
0.174736, 0.978501, -0.0873682, -0.489251, 0.783487, -0.19534, -0.391744, 0.0976701
0.182556, 0.976504, -0.0912778, -0.488252, 0.781906, -0.204197, -0.390953, 0.102099
0.190358, 0.974418, -0.095179, -0.487209, 0.780251, -0.213051, -0.390125, 0.106525
0.198143, 0.972243, -0.0990716, -0.486122, 0.778522, -0.221901, -0.389261, 0.11095
0.20591, 0.96998, -0.102955, -0.48499, 0.776719, -0.230748, -0.388359, 0.115374
0.213659, 0.967629, -0.106829, -0.483814, 0.774841, -0.239591, -0.387421, 0.119795
0.221388, 0.965189, -0.110694, -0.482594, 0.77289, -0.24843, -0.386445, 0.124215
0.229096, 0.962661, -0.114548, -0.48133, 0.770863, -0.257265, -0.385432, 0.128633
0.236784, 0.960044, -0.118392, -0.480022, 0.768761, -0.266097, -0.384381, 0.133048
0.24445, 0.957339, -0.122225, -0.47867, 0.766584, -0.274923, -0.383292, 0.137462
0.252093, 0.954546, -0.126047, -0.477273, 0.764332, -0.283745, -0.382166, 0.141873
0.259713, 0.951665, -0.129857, -0.475833, 0.762003, -0.292562, -0.381002, 0.146281
0.267309, 0.948696, -0.133655, -0.474348, 0.759598, -0.301375, -0.379799, 0.150687
0.27488, 0.945639, -0.13744, -0.472819, 0.757117, -0.310182, -0.378558, 0.155091
0.282426, 0.942493, -0.141213, -0.471247, 0.754558, -0.318983, -0.377279, 0.159492
0.289945, 0.93926, -0.144973, -0.46963, 0.751923, -0.327779, -0.375961, 0.163889
0.297437, 0.935939, -0.148719, -0.467969, 0.749209, -0.336569, -0.374605, 0.168284
0.304901, 0.93253, -0.152451, -0.466265, 0.746418, -0.345352, -0.373209, 0.172676
0.312337, 0.929033, -0.156168, -0.464516, 0.743548, -0.35413, -0.371774, 0.177065
0.319743, 0.925448, -0.159871, -0.462724, 0.740599, -0.3629, -0.3703, 0.18145
0.327119, 0.921776, -0.163559, -0.460888, 0.737572, -0.371664, -0.368786, 0.185832
0.334463, 0.918016, -0.167232, -0.459008, 0.734464, -0.38042, -0.367232, 0.19021
0.341776, 0.914169, -0.170888, -0.457084, 0.731277, -0.389169, -0.365638, 0.194584
0.349056, 0.910234, -0.174528, -0.455117, 0.728009, -0.39791, -0.364004, 0.198955
0.356303, 0.906212, -0.178151, -0.453106, 0.72466, -0.406643, -0.36233, 0.203322
0.363515, 0.902103, -0.181758, -0.451052, 0.721229, -0.415368, -0.360615, 0.207684
0.370692, 0.897907, -0.185346, -0.448953, 0.717717, -0.424084, -0.358859, 0.212042
0.377833, 0.893623, -0.188917, -0.446812, 0.714123, -0.43279, -0.357061, 0.216395
0.384938, 0.889253, -0.192469, -0.444626, 0.710445, -0.441488, -0.355223, 0.220744
0.392005, 0.884795, -0.196002, -0.442398, 0.706684, -0.450176, -0.353342, 0.225088
0.399033, 0.880251, -0.199517, -0.440126, 0.70284, -0.458854, -0.35142, 0.229427
0.406022, 0.875621, -0.203011, -0.43781, 0.698911, -0.467521, -0.349455, 0.23376
0.412971, 0.870903, -0.206486, -0.435452, 0.694897, -0.476177, -0.347448, 0.238089
0.419879, 0.866099, -0.20994, -0.43305, 0.690797, -0.484823, -0.345399, 0.242411
0.426745, 0.861209, -0.213373, -0.430605, 0.686612, -0.493456, -0.343306, 0.246728
0.433569, 0.856233, -0.216784, -0.428117, 0.682339, -0.502078, -0.34117, 0.251039
0.440348, 0.851171, -0.220174, -0.425585, 0.67798, -0.510687, -0.33899, 0.255344
0.447084, 0.846022, -0.223542, -0.423011, 0.673533, -0.519284, -0.336766, 0.259642
0.453774, 0.840788, -0.226887, -0.420394, 0.668997, -0.527867, -0.334498, 0.263934
0.460417, 0.835468, -0.230209, -0.417734, 0.664372, -0.536436, -0.332186, 0.268218
0.467014, 0.830063, -0.233507, -0.415031, 0.659658, -0.544991, -0.329829, 0.272496
0.473563, 0.824572, -0.236781, -0.412286, 0.654853, -0.553532, -0.327426, 0.276766
0.480062, 0.818996, -0.240031, -0.409498, 0.649957, -0.562057, -0.324978, 0.281028
0.486512, 0.813334, -0.243256, -0.406667, 0.644969, -0.570566, -0.322484, 0.285283
0.492911, 0.807588, -0.246455, -0.403794, 0.639889, -0.579059, -0.319944, 0.289529
0.499258, 0.801757, -0.249629, -0.400879, 0.634715, -0.587535, -0.317358, 0.293767
0.505552, 0.795842, -0.252776, -0.397921, 0.629448, -0.595993, -0.314724, 0.297996
0.511793, 0.789842, -0.255897, -0.394921, 0.624087, -0.604433, -0.312043, 0.302217
0.51798, 0.783758, -0.25899, -0.391879, 0.61863, -0.612855, -0.309315, 0.306427
0.52411, 0.77759, -0.262055, -0.388795, 0.613077, -0.621257, -0.306538, 0.310629
0.530185, 0.771338, -0.265092, -0.385669, 0.607427, -0.62964, -0.303713, 0.31482
0.536201, 0.765002, -0.268101, -0.382501, 0.601679, -0.638001, -0.30084, 0.319001
0.54216, 0.758583, -0.27108, -0.379292, 0.595833, -0.646342, -0.297917, 0.323171
0.548059, 0.752081, -0.274029, -0.376041, 0.589888, -0.65466, -0.294944, 0.32733
0.553897, 0.745496, -0.276949, -0.372748, 0.583843, -0.662955, -0.291922, 0.331478
0.559674, 0.738828, -0.279837, -0.369414, 0.577697, -0.671227, -0.288849, 0.335614
0.565388, 0.732078, -0.282694, -0.366039, 0.57145, -0.679475, -0.285725, 0.339737
0.571039, 0.725245, -0.28552, -0.362623, 0.5651, -0.687697, -0.28255, 0.343849
0.576626, 0.718331, -0.288313, -0.359165, 0.558646, -0.695893, -0.279323, 0.347947
0.582147, 0.711335, -0.291073, -0.355667, 0.552088, -0.704063, -0.276044, 0.352031
0.587601, 0.704257, -0.293801, -0.352129, 0.545425, -0.712205, -0.272712, 0.356102
0.592988, 0.697098, -0.296494, -0.348549, 0.538656, -0.720318, -0.269328, 0.360159
0.598305, 0.689859, -0.299153, -0.344929, 0.531779, -0.728401, -0.26589, 0.364201
0.603553, 0.682539, -0.301777, -0.341269, 0.524795, -0.736454, -0.262398, 0.368227
0.60873, 0.675138, -0.304365, -0.337569, 0.517702, -0.744476, -0.258851, 0.372238
0.613835, 0.667658, -0.306918, -0.333829, 0.510499, -0.752465, -0.255249, 0.376232
0.618867, 0.660098, -0.309434, -0.330049, 0.503185, -0.76042, -0.251593, 0.38021
0.623825, 0.652459, -0.311912, -0.32623, 0.495759, -0.76834, -0.24788, 0.38417
0.628707, 0.644742, -0.314354, -0.322371, 0.488221, -0.776225, -0.24411, 0.388112
0.633513, 0.636945, -0.316756, -0.318473, 0.480569, -0.784072, -0.240284, 0.392036
0.638241, 0.629071, -0.31912, -0.314535, 0.472801, -0.791881, -0.236401, 0.395941
0.64289, 0.621119, -0.321445, -0.310559, 0.464918, -0.799651, -0.232459, 0.399826
0.647459, 0.61309, -0.32373, -0.306545, 0.456918, -0.80738, -0.228459, 0.40369
0.651947, 0.604983, -0.325974, -0.302492, 0.448801, -0.815067, -0.2244, 0.407534
0.656353, 0.596801, -0.328176, -0.2984, 0.440564, -0.822711, -0.220282, 0.411355
0.660675, 0.588542, -0.330337, -0.294271, 0.432207, -0.830309, -0.216103, 0.415155
0.664912, 0.580208, -0.332456, -0.290104, 0.423729, -0.837862, -0.211864, 0.418931
0.669063, 0.571799, -0.334532, -0.285899, 0.415128, -0.845367, -0.207564, 0.422683
0.673127, 0.563315, -0.336564, -0.281657, 0.406405, -0.852822, -0.203202, 0.426411
0.677103, 0.554757, -0.338551, -0.277378, 0.397557, -0.860227, -0.198778, 0.430113
0.680989, 0.546126, -0.340494, -0.273063, 0.388583, -0.867579, -0.194291, 0.433789
0.684784, 0.537421, -0.342392, -0.268711, 0.379483, -0.874877, -0.189741, 0.437438
0.688486, 0.528645, -0.344243, -0.264322, 0.370255, -0.882119, -0.185127, 0.44106
0.692095, 0.519796, -0.346048, -0.259898, 0.360898, -0.889304, -0.180449, 0.444652
0.695609, 0.510876, -0.347805, -0.255438, 0.351411, -0.896429, -0.175705, 0.448215
0.699027, 0.501886, -0.349514, -0.250943, 0.341792, -0.903493, -0.170896, 0.451746
0.702348, 0.492825, -0.351174, -0.246413, 0.332042, -0.910494, -0.166021, 0.455247
0.705569, 0.483695, -0.352785, -0.241848, 0.322158, -0.917429, -0.161079, 0.458715
0.708691, 0.474497, -0.354345, -0.237248, 0.312139, -0.924297, -0.15607, 0.462149
0.71171, 0.46523, -0.355855, -0.232615, 0.301985, -0.931096, -0.150992, 0.465548
0.714627, 0.455896, -0.357314, -0.227948, 0.291693, -0.937823, -0.145847, 0.468912
0.71744, 0.446496, -0.35872, -0.223248, 0.281264, -0.944477, -0.140632, 0.472238
0.720147, 0.43703, -0.360073, -0.218515, 0.270696, -0.951054, -0.135348, 0.475527
0.722747, 0.427499, -0.361373, -0.213749, 0.259987, -0.957553, -0.129993, 0.478776
0.725238, 0.417904, -0.362619, -0.208952, 0.249136, -0.96397, -0.124568, 0.481985
0.72762, 0.408245, -0.36381, -0.204123, 0.238144, -0.970305, -0.119072, 0.485152
0.72989, 0.398524, -0.364945, -0.199262, 0.227007, -0.976553, -0.113504, 0.488277
0.732047, 0.388741, -0.366023, -0.194371, 0.215726, -0.982713, -0.107863, 0.491356
0.73409, 0.378898, -0.367045, -0.189449, 0.204299, -0.988781, -0.102149, 0.494391
0.736017, 0.368995, -0.368009, -0.184497, 0.192724, -0.994755, -0.0963622, 0.497378
0.737827, 0.359033, -0.368914, -0.179516, 0.181002, -1.00063, -0.0905012, 0.500316
0.739519, 0.349013, -0.369759, -0.174507, 0.169131, -1.00641, -0.0845656, 0.503204
0.74109, 0.338937, -0.370545, -0.169468, 0.15711, -1.01208, -0.0785549, 0.506041
0.742539, 0.328805, -0.371269, -0.164402, 0.144937, -1.01765, -0.0724687, 0.508824
0.743865, 0.318618, -0.371933, -0.159309, 0.132613, -1.02311, -0.0663065, 0.511553
0.745066, 0.308378, -0.372533, -0.154189, 0.120136, -1.02845, -0.0600678, 0.514225
0.746142, 0.298086, -0.373071, -0.149043, 0.107504, -1.03368, -0.0537521, 0.516839
0.747089, 0.287742, -0.373544, -0.143871, 0.0947179, -1.03879, -0.047359, 0.519393
0.747906, 0.277349, -0.373953, -0.138675, 0.0817761, -1.04377, -0.040888, 0.521886
0.748593, 0.266907, -0.374297, -0.133454, 0.0686778, -1.04863, -0.0343389, 0.524314
0.749147, 0.256418, -0.374574, -0.128209, 0.0554222, -1.05336, -0.0277111, 0.526678
0.749568, 0.245883, -0.374784, -0.122942, 0.0420087, -1.05795, -0.0210044, 0.528973
0.749852, 0.235304, -0.374926, -0.117652, 0.0284366, -1.0624, -0.0142183, 0.531199
0.749999, 0.224681, -0.374999, -0.112341, 0.0147052, -1.06671, -0.00735261, 0.533354
0.750007, 0.214017, -0.375004, -0.107008, 0.000814055, -1.07087, -0.000407028, 0.535434
0.749875, 0.203312, -0.374937, -0.101656, -0.0132374, -1.07488, 0.0066187, 0.537439
0.7496, 0.19257, -0.3748, -0.0962848, -0.0274496, -1.07873, 0.0137248, 0.539366
0.749182, 0.18179, -0.374591, -0.0908949, -0.0418228, -1.08242, 0.0209114, 0.541212
0.748618, 0.170975, -0.374309, -0.0854874, -0.0563574, -1.08595, 0.0281787, 0.542975
0.747908, 0.160126, -0.373954, -0.0800631, -0.0710536, -1.08931, 0.0355268, 0.544654
0.747049, 0.149246, -0.373524, -0.0746228, -0.0859114, -1.09249, 0.0429557, 0.546244
0.746039, 0.138335, -0.37302, -0.0691676, -0.100931, -1.09549, 0.0504654, 0.547744
0.744878, 0.127397, -0.372439, -0.0636983, -0.116112, -1.0983, 0.0580559, 0.549152
0.743564, 0.116432, -0.371782, -0.0582159, -0.131454, -1.10093, 0.0657272, 0.550464
0.742094, 0.105443, -0.371047, -0.0527214, -0.146958, -1.10336, 0.0734789, 0.551678
0.740468, 0.0944313, -0.370234, -0.0472157, -0.162622, -1.10558, 0.081311, 0.552791
0.738684, 0.0833998, -0.369342, -0.0416999, -0.178446, -1.1076, 0.0892232, 0.5538
0.736739, 0.0723502, -0.36837, -0.0361751, -0.19443, -1.1094, 0.0972151, 0.554702
0.734634, 0.0612847, -0.367317, -0.0306424, -0.210573, -1.11099, 0.105286, 0.555495
0.732365, 0.0502057, -0.366182, -0.0251029, -0.226873, -1.11235, 0.113436, 0.556175
0.729932, 0.0391154, -0.364966, -0.0195577, -0.243329, -1.11348, 0.121665, 0.556739
0.727332, 0.0280161, -0.363666, -0.0140081, -0.259941, -1.11437, 0.12997, 0.557184
0.724565, 0.0169105, -0.362283, -0.00845523, -0.276706, -1.11501, 0.138353, 0.557507
0.721629, 0.00580082, -0.360814, -0.00290041, -0.293624, -1.11541, 0.146812, 0.557704
0.718522, -0.00531018, -0.359261, 0.00265509, -0.310692, -1.11555, 0.155346, 0.557773
0.715243, -0.0164199, -0.357621, 0.00820996, -0.327908, -1.11542, 0.163954, 0.557709
0.71179, -0.0275257, -0.355895, 0.0137628, -0.34527, -1.11502, 0.172635, 0.55751
0.708162, -0.0386246, -0.354081, 0.0193123, -0.362775, -1.11434, 0.181387, 0.557171
0.704358, -0.049714, -0.352179, 0.024857, -0.380421, -1.11338, 0.19021, 0.55669
0.700376, -0.0607908, -0.350188, 0.0303954, -0.398205, -1.11212, 0.199102, 0.556062
0.696215, -0.0718521, -0.348107, 0.035926, -0.416123, -1.11057, 0.208061, 0.555285
0.691873, -0.0828947, -0.345937, 0.0414473, -0.434172, -1.10871, 0.217086, 0.554353
0.68735, -0.0939155, -0.343675, 0.0469578, -0.452349, -1.10653, 0.226174, 0.553264
0.682643, -0.104911, -0.341322, 0.0524557, -0.470648, -1.10403, 0.235324, 0.552014
0.677753, -0.115879, -0.338876, 0.0579395, -0.489067, -1.1012, 0.244533, 0.550599
0.672677, -0.126815, -0.336338, 0.0634074, -0.507599, -1.09803, 0.2538, 0.549015
0.667414, -0.137715, -0.333707, 0.0688577, -0.526241, -1.09452, 0.26312, 0.547258
0.661964, -0.148577, -0.330982, 0.0742887, -0.544986, -1.09065, 0.272493, 0.545324
0.656326, -0.159397, -0.328163, 0.0796986, -0.56383, -1.08642, 0.281915, 0.543209
0.650498, -0.170171, -0.325249, 0.0850855, -0.582765, -1.08182, 0.291383, 0.540909
0.64448, -0.180895, -0.32224, 0.0904475, -0.601786, -1.07684, 0.300893, 0.538422
0.638272, -0.191565, -0.319136, 0.0957827, -0.620886, -1.07148, 0.310443, 0.535741
0.631871, -0.202178, -0.315936, 0.101089, -0.640057, -1.06573, 0.320029, 0.532864
0.625278, -0.212729, -0.312639, 0.106365, -0.659292, -1.05957, 0.329646, 0.529787
0.618492, -0.223215, -0.309246, 0.111608, -0.678583, -1.05301, 0.339292, 0.526505
0.611513, -0.233631, -0.305757, 0.116815, -0.697921, -1.04603, 0.348961, 0.523016
0.60434, -0.243973, -0.30217, 0.121986, -0.717298, -1.03863, 0.358649, 0.519314
0.596973, -0.254236, -0.298487, 0.127118, -0.736704, -1.03079, 0.368352, 0.515397
0.589412, -0.264417, -0.294706, 0.132209, -0.756129, -1.02252, 0.378064, 0.511261
0.581656, -0.274511, -0.290828, 0.137255, -0.775562, -1.0138, 0.387781, 0.506902
0.573706, -0.284513, -0.286853, 0.142256, -0.794994, -1.00463, 0.397497, 0.502316
0.565562, -0.294418, -0.282781, 0.147209, -0.814413, -0.995002, 0.407207, 0.497501
0.557224, -0.304223, -0.278612, 0.152111, -0.833807, -0.984906, 0.416904, 0.492453
0.548692, -0.313922, -0.274346, 0.156961, -0.853164, -0.974338, 0.426582, 0.487169
0.539968, -0.32351, -0.269984, 0.161755, -0.872472, -0.963292, 0.436236, 0.481646
0.53105, -0.332983, -0.265525, 0.166492, -0.891716, -0.951762, 0.445858, 0.475881
0.521942, -0.342336, -0.260971, 0.171168, -0.910884, -0.939743, 0.455442, 0.469872
0.512642, -0.351564, -0.256321, 0.175782, -0.929961, -0.927231, 0.46498, 0.463615
0.503153, -0.360662, -0.251576, 0.180331, -0.948933, -0.91422, 0.474466, 0.45711
0.493475, -0.369625, -0.246737, 0.184812, -0.967784, -0.900707, 0.483892, 0.450354
0.48361, -0.378447, -0.241805, 0.189224, -0.986499, -0.886689, 0.49325, 0.443345
0.473559, -0.387124, -0.23678, 0.193562, -1.00506, -0.872163, 0.502531, 0.436081
0.463325, -0.395651, -0.231662, 0.197826, -1.02346, -0.857125, 0.511729, 0.428563
0.452908, -0.404022, -0.226454, 0.202011, -1.04167, -0.841575, 0.520834, 0.420787
0.442311, -0.412233, -0.221156, 0.206116, -1.05967, -0.825511, 0.529837, 0.412756
0.431537, -0.420278, -0.215768, 0.210139, -1.07746, -0.808934, 0.538731, 0.404467
0.420586, -0.428152, -0.210293, 0.214076, -1.09501, -0.791842, 0.547506, 0.395921
0.409463, -0.43585, -0.204732, 0.217925, -1.1123, -0.774238, 0.556152, 0.387119
