S,R,Z,Psi
0,0,0,0
0.01,9.9994e-05,9.49961e-07,0.00019
0.02,0.000199988,1.9189e-06,0.000379999
0.03,0.000299981,2.90684e-06,0.000569999
0.04,0.000399975,3.91378e-06,0.000759998
0.05,0.000499968,4.93972e-06,0.000949998
0.06,0.000599961,5.98465e-06,0.00114
0.07,0.000699954,7.04858e-06,0.00133
0.08,0.000799947,8.13152e-06,0.00151999
0.09,0.000899939,9.23345e-06,0.00170999
0.1,0.000999931,1.03544e-05,0.00189999
0.11,0.00109992,1.14943e-05,0.00208999
0.12,0.00119991,1.26532e-05,0.00227999
0.13,0.00129991,1.38311e-05,0.00246999
0.14,0.0013999,1.50281e-05,0.00265999
0.15,0.00149989,1.6244e-05,0.00284998
0.16,0.00159988,1.74789e-05,0.00303998
0.17,0.00169987,1.87328e-05,0.00322998
0.18,0.00179986,2.00057e-05,0.00341998
0.19,0.00189985,2.12976e-05,0.00360997
0.2,0.00199984,2.26085e-05,0.00379997
0.21,0.00209983,2.39384e-05,0.00398997
0.22,0.00219982,2.52873e-05,0.00417997
0.23,0.00229981,2.66552e-05,0.00436996
0.24,0.0023998,2.80421e-05,0.00455996
0.25,0.00249979,2.9448e-05,0.00474996
0.26,0.00259977,3.08729e-05,0.00493995
0.27,0.00269976,3.23168e-05,0.00512995
0.28,0.00279975,3.37797e-05,0.00531995
0.29,0.00289974,3.52615e-05,0.00550994
0.3,0.00299973,3.67624e-05,0.00569994
0.31,0.00309971,3.82823e-05,0.00588993
0.32,0.0031997,3.98211e-05,0.00607993
0.33,0.00329969,4.1379e-05,0.00626993
0.34,0.00339967,4.29559e-05,0.00645992
0.35,0.00349966,4.45517e-05,0.00664992
0.36,0.00359964,4.61666e-05,0.00683991
0.37,0.00369963,4.78004e-05,0.00702991
0.38,0.00379961,4.94533e-05,0.0072199
0.39,0.0038996,5.11251e-05,0.0074099
0.4,0.00399958,5.2816e-05,0.00759989
0.41,0.00409957,5.45258e-05,0.00778989
0.42,0.00419955,5.62546e-05,0.00797988
0.43,0.00429953,5.80024e-05,0.00816988
0.44,0.00439952,5.97693e-05,0.00835987
0.45,0.0044995,6.15551e-05,0.00854987
0.46,0.00459948,6.33599e-05,0.00873986
0.47,0.00469946,6.51837e-05,0.00892985
0.48,0.00479944,6.70265e-05,0.00911985
0.49,0.00489942,6.88883e-05,0.00930984
0.5,0.00499941,7.07691e-05,0.00949983
0.51,0.00509939,7.26689e-05,0.00968983
0.52,0.00519937,7.45877e-05,0.00987982
0.53,0.00529935,7.65254e-05,0.0100698
0.54,0.00539932,7.84822e-05,0.0102598
0.55,0.0054993,8.0458e-05,0.0104498
0.56,0.00559928,8.24527e-05,0.0106398
0.57,0.00569926,8.44665e-05,0.0108298
0.58,0.00579924,8.64992e-05,0.0110198
0.59,0.00589922,8.8551e-05,0.0112098
0.6,0.00599919,9.06217e-05,0.0113998
0.61,0.00609917,9.27115e-05,0.0115898
0.62,0.00619915,9.48202e-05,0.0117797
0.63,0.00629912,9.69479e-05,0.0119697
0.64,0.0063991,9.90946e-05,0.0121597
0.65,0.00649907,0.00010126,0.0123497
0.66,0.00659905,0.000103445,0.0125397
0.67,0.00669902,0.000105649,0.0127297
0.68,0.00679899,0.000107871,0.0129197
0.69,0.00689897,0.000110113,0.0131097
0.7,0.00699894,0.000112374,0.0132997
0.71,0.00709891,0.000114653,0.0134897
0.72,0.00719889,0.000116952,0.0136797
0.73,0.00729886,0.00011927,0.0138696
