p_La_gamma,volumes
0,0
0,0
0.025,0.000615219
0.05,0.00123039
0.075,0.00184546
0.1,0.00246039
0.125,0.00307512
0.15,0.00369254
0.175,0.00430722
0.2,0.00492546
0.225,0.0055399
0.25,0.00615878
0.275,0.00677277
0.3,0.00739208
0.325,0.00801178
0.35,0.00863182
0.375,0.00925214
0.4,0.0098727
0.425,0.0104934
0.45,0.0111143
0.475,0.0117353
0.5,0.0123661
0.525,0.0129875
0.55,0.0136197
0.575,0.0142414
0.6,0.0148748
0.625,0.0154966
0.65,0.0161309
0.675,0.0167658
0.7,0.0174013
0.725,0.0180374
0.75,0.0186739
0.775,0.0193109
0.8,0.0199482
0.825,0.0205859
0.85,0.0212238
0.875,0.021879
0.9,0.0225178
0.925,0.0231747
0.95,0.0238141
0.975,0.0244724
1,0.0251317
1.025,0.0257718
1.05,0.0264322
1.075,0.0270933
1.1,0.0277551
1.125,0.0284174
1.15,0.0291027
1.175,0.0297665
1.2,0.0304307
1.225,0.0311192
1.25,0.0317845
1.275,0.0324748
1.3,0.0331663
1.325,0.0338588
1.35,0.0345259
1.375,0.0352198
1.4,0.0359418
1.425,0.0366377
1.45,0.0373343
1.475,0.0380315
1.5,0.0387585
1.525,0.0394572
1.55,0.0401864
1.575,0.040917
1.6,0.0416487
1.625,0.0423815
1.65,0.0431153
1.675,0.0438501
1.7,0.0445857
1.725,0.0453221
1.75,0.0460932
1.775,0.0468313
1.8,0.047605
1.825,0.04838
1.85,0.0491563
1.875,0.0499337
1.9,0.0507122
1.925,0.0514917
1.95,0.05231
1.975,0.0530915
2,0.0539127
2.025,0.0547353
2.05,0.0555594
2.075,0.0563847
2.1,0.0572111
2.125,0.05808
2.15,0.0589089
2.175,0.0597809
2.2,0.0606116
2.225,0.0614862
2.25,0.0624059
2.275,0.0632835
2.3,0.0641622
2.325,0.065087
2.35,0.0660135
2.375,0.0669416
2.4,0.0678711
2.425,0.0688018
2.45,0.0697812
2.475,0.0707144
2.5,0.0716968
2.525,0.0726808
2.55,0.0737157
2.575,0.0747025
2.6,0.0757408
2.625,0.0767808
2.65,0.0778221
2.675,0.0789167
2.7,0.0800132
2.725,0.0811114
2.75,0.0822111
2.775,0.0833119
2.8,0.084468
2.825,0.0856258
2.85,0.0868403
2.875,0.0880567
2.9,0.0892748
2.925,0.0904942
2.95,0.091772
2.975,0.0930513
3,0.0943318
3.025,0.095672
3.05,0.0970729
3.075,0.0984159
3.1,0.0998197
3.125,0.101285
3.15,0.102752
3.175,0.104282
3.2,0.105813
3.225,0.107407
3.25,0.109003
3.275,0.110663
3.3,0.112324
3.325,0.114049
3.35,0.11584
3.375,0.117697
3.4,0.11962
3.425,0.121544
3.45,0.123534
3.475,0.125659
3.5,0.127784
3.525,0.130045
3.55,0.132305
3.575,0.134703
3.6,0.137238
3.625,0.139842
3.65,0.142585
3.675,0.145397
3.7,0.14842
3.725,0.151584
3.75,0.15496
3.775,0.158551
3.8,0.162355
3.825,0.166448
3.85,0.170903
3.875,0.175721
3.9,0.181128
3.925,0.187125
3.95,0.19394
3.975,0.201955
4,0.211785
4.025,0.224823
4.05,0.246906
4.075,0.782229
4.1,0.777172
4.125,0.773333
4.15,0.771005
4.175,0.770712
4.2,0.773286
4.225,0.781417
4.25,0.810284
4.275,1.43062
4.3,1.40452
4.325,1.37988
4.35,1.35667
4.375,1.3349
4.4,1.31453
4.425,1.29559
4.45,1.27827
4.475,1.26261
4.5,1.24894
4.525,1.23747
4.55,1.2289
4.575,1.22452
4.6,1.22742
4.625,1.25503
4.65,2.04019
4.675,1.98851
4.7,1.93981
4.725,1.89387
4.75,1.85073
4.775,1.81015
4.8,1.77205
4.825,1.73637
4.85,1.70314
4.875,1.67231
4.9,1.64393
4.925,1.61805
4.95,1.59504
