p_La_gamma,volumes
0,0
0,0
0.005,0.000123045
0.01,0.000246091
0.015,0.000369135
0.02,0.000492178
0.025,0.000615219
0.03,0.000738259
0.035,0.000861296
0.04,0.000984331
0.045,0.00110736
0.05,0.00123039
0.055,0.00135341
0.06,0.00147643
0.065,0.00159945
0.07,0.00172246
0.075,0.00184546
0.08,0.00196846
0.085,0.00209145
0.09,0.00221444
0.095,0.00233742
0.1,0.00246039
0.105,0.00258335
0.11,0.00270631
0.115,0.00282926
0.12,0.00295219
0.125,0.00307512
0.13,0.00319804
0.135,0.00332095
0.14,0.00344658
0.145,0.00356956
0.15,0.00369254
0.155,0.0038155
0.16,0.00393845
0.165,0.00406139
0.17,0.00418431
0.175,0.00430722
0.18,0.00443012
0.185,0.004553
0.19,0.00467587
0.195,0.00480253
0.2,0.00492546
0.205,0.00504838
0.21,0.00517129
0.215,0.00529418
0.22,0.00541705
0.225,0.0055399
0.23,0.00566274
0.235,0.00578556
0.24,0.00591304
0.245,0.00603592
0.25,0.00615878
0.255,0.00628162
0.26,0.00640444
0.265,0.00652724
0.27,0.00665002
0.275,0.00677277
0.28,0.00690097
0.285,0.00702378
0.29,0.00714657
0.295,0.00726934
0.3,0.00739208
0.305,0.0075148
0.31,0.00764355
0.315,0.00776632
0.32,0.00788906
0.325,0.00801178
0.33,0.00813448
0.335,0.00825714
0.34,0.00838642
0.345,0.00850913
0.35,0.00863182
0.355,0.00875447
0.36,0.00887711
0.365,0.00900683
0.37,0.0091295
0.375,0.00925214
0.38,0.00937475
0.385,0.00949733
0.39,0.00962749
0.395,0.00975011
0.4,0.0098727
0.405,0.00999525
0.41,0.0101178
0.415,0.0102484
0.42,0.0103709
0.425,0.0104934
0.43,0.0106159
0.435,0.0107469
0.44,0.0108694
0.445,0.0109919
0.45,0.0111143
0.455,0.0112367
0.46,0.0113681
0.465,0.0114905
0.47,0.0116129
0.475,0.0117353
0.48,0.011867
0.485,0.0119894
0.49,0.0121117
0.495,0.012234
0.5,0.0123661
0.505,0.0124884
0.51,0.0126107
0.515,0.012743
0.52,0.0128653
0.525,0.0129875
0.53,0.0131098
0.535,0.0132424
0.54,0.0133646
0.545,0.0134868
0.55,0.0136197
0.555,0.0137419
0.56,0.013864
0.565,0.0139861
0.57,0.0141193
0.575,0.0142414
0.58,0.0143635
0.585,0.014497
0.59,0.014619
0.595,0.0147411
0.6,0.0148748
0.605,0.0149968
0.61,0.0151188
0.615,0.0152527
0.62,0.0153747
0.625,0.0154966
0.63,0.0156308
0.635,0.0157527
0.64,0.0158746
0.645,0.016009
0.65,0.0161309
0.655,0.0162527
0.66,0.0163874
0.665,0.0165092
0.67,0.0166309
