rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0
0.8125, 0
0.9375, 0.317639
1.0625, 1.66993
1.1875, 1.76091
1.3125, 1.39104
1.4375, 1.15834
1.5625, 1.04066
1.6875, 0.967957
1.8125, 0.936889
1.9375, 0.960953
2.0625, 0.984804
2.1875, 1.02177
2.3125, 1.03362
2.4375, 1.0216
2.5625, 0.996838
2.6875, 0.974427
2.8125, 0.970827
2.9375, 0.985349
3.0625, 1.00794
3.1875, 1.00311
3.3125, 1.00572
3.4375, 0.9881
3.5625, 0.988415
3.6875, 0.994203
3.8125, 0.996763
3.9375, 1.0046
4.0625, 1.01073
4.1875, 1.00454
4.3125, 1.01247
4.4375, 1.00097
4.5625, 1.00472
4.6875, 1.00645
4.8125, 1.00909
4.9375, 1.01005
5.0625, 1.00895
5.1875, 1.01634
5.3125, 1.01373
5.4375, 1.01584
5.5625, 1.0108
5.6875, 1.01934
5.8125, 1.00711
5.9375, 1.01562
6.0625, 1.02585
6.1875, 1.02339
6.3125, 1.01575
6.4375, 1.00966
6.5625, 1.01379
6.6875, 1.01332
6.8125, 1.00444
6.9375, 1.01715
7.0625, 1.01408
7.1875, 1.01015
7.3125, 1.00265
7.4375, 1.00294
7.5625, 1.01106
7.6875, 1.00595
7.8125, 0.999821
7.9375, 1.00721
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
