x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16
1, 1, 1, 3, 1, 5, 1, 7, 3, 1, 3, 3, 3, 5, 3, 7, 5, 1, 5, 3, 5, 5, 5, 7, 7, 1, 7, 3, 7, 5, 7, 7
1.00805, 0.989234, 0.988496, 3.01578, 0.998886, 4.99473, 1.01308, 6.99092, 3.01228, 1.01666, 3.01271, 3.00804, 3.00688, 4.98842, 2.98161, 6.99438, 5.00183, 0.988501, 4.9975, 3.0129, 4.99296, 5.01033, 5.00316, 6.99167, 7.00505, 0.99762, 6.9949, 3.00004, 6.99107, 4.99046, 6.99154, 7.01031
1.01611, 0.978467, 0.976991, 3.03156, 0.997772, 4.98947, 1.02617, 6.98184, 3.02456, 1.03332, 3.02541, 3.01608, 3.01376, 4.97684, 2.96321, 6.98876, 5.00367, 0.977001, 4.995, 3.0258, 4.98593, 5.02067, 5.00632, 6.98334, 7.01009, 0.995239, 6.9898, 3.00008, 6.98214, 4.98091, 6.98308, 7.02063
1.02416, 0.967697, 0.965482, 3.04735, 0.996659, 4.9842, 1.03926, 6.97276, 3.03684, 1.04998, 3.03813, 3.02412, 3.02064, 4.96525, 2.94481, 6.98314, 5.0055, 0.965498, 4.99249, 3.0387, 4.97889, 5.03101, 5.00948, 6.975, 7.01514, 0.992855, 6.9847, 3.00013, 6.97321, 4.97136, 6.97461, 7.03095
1.03221, 0.956922, 0.953969, 3.06315, 0.995546, 4.97893, 1.05236, 6.96368, 3.04912, 1.06665, 3.05085, 3.03216, 3.02752, 4.95366, 2.9264, 6.97751, 5.00733, 0.953992, 4.98999, 3.05161, 4.97185, 5.04135, 5.01265, 6.96667, 7.02019, 0.990469, 6.9796, 3.00017, 6.96428, 4.96181, 6.96614, 7.04127
1.04026, 0.946142, 0.942449, 3.07895, 0.994433, 4.97365, 1.06547, 6.9546, 3.06141, 1.08332, 3.06358, 3.04021, 3.03441, 4.94206, 2.90798, 6.97188, 5.00915, 0.942481, 4.98748, 3.06453, 4.9648, 5.05169, 5.01583, 6.95833, 7.02523, 0.988078, 6.97451, 3.00023, 6.95535, 4.95225, 6.95766, 7.05161
1.04831, 0.935355, 0.930923, 3.09478, 0.993321, 4.96837, 1.07861, 6.94552, 3.0737, 1.1, 3.07632, 3.04827, 3.04131, 4.93046, 2.88954, 6.96625, 5.01097, 0.930964, 4.98496, 3.07745, 4.95776, 5.06203, 5.01901, 6.94998, 7.03027, 0.985681, 6.96941, 3.00028, 6.94641, 4.94268, 6.94917, 7.06195
1.05636, 0.924561, 0.919388, 3.11062, 0.992209, 4.96307, 1.09176, 6.93643, 3.086, 1.11669, 3.08908, 3.05633, 3.04822, 4.91884, 2.87107, 6.96061, 5.01279, 0.919441, 4.98244, 3.09037, 4.9507, 5.07239, 5.02221, 6.94163, 7.03531, 0.983278, 6.96432, 3.00035, 6.93747, 4.93311, 6.94067, 7.0723
1.06441, 0.913758, 0.907843, 3.12648, 0.991098, 4.95777, 1.10495, 6.92735, 3.09831, 1.13338, 3.10185, 3.0644, 3.05513, 4.90721, 2.85258, 6.95496, 5.0146, 0.90791, 4.97991, 3.10331, 4.94365, 5.08274, 5.02542, 6.93327, 7.04035, 0.980866, 6.95922, 3.00042, 6.92853, 4.92352, 6.93216, 7.08266
1.07246, 0.902946, 0.896288, 3.14236, 0.989987, 4.95245, 1.11817, 6.91827, 3.11062, 1.15009, 3.11463, 3.07248, 3.06206, 4.89557, 2.83405, 6.94931, 5.01641, 0.896373, 4.97737, 3.11626, 4.93658, 5.09311, 5.02864, 6.9249, 7.04539, 0.978444, 6.95413, 3.0005, 6.91958, 4.91392, 6.92363, 7.09303
