t, T, Ekin, Epot, vS.x, vS.y
0, 1, 255, -36.7533, 3.03577e-17, 2.0383e-17
0.01, 1.00012, 255.03, -36.7828, 3.98986e-17, 1.17094e-17
0.02, 1.00046, 255.118, -36.8714, 4.51028e-17, 2.21177e-17
0.03, 1.00104, 255.266, -37.0196, 6.59195e-17, 3.77302e-17
0.04, 1.00186, 255.475, -37.2281, 6.07153e-17, 8.67362e-19
0.05, 1.00292, 255.745, -37.4983, 5.29091e-17, 1.56125e-17
0.06, 1.00423, 256.079, -37.832, 4.25007e-17, 4.77049e-18
0.07, 1.0058, 256.479, -38.2315, 5.72459e-17, 3.03577e-18
0.08, 1.00764, 256.947, -38.6996, 8.58688e-17, 3.20924e-17
0.09, 1.00976, 257.488, -39.2396, 2.77556e-17, 7.37257e-18
0.1, 1.01217, 258.104, -39.8555, 5.0307e-17, 1.43115e-17
0.11, 1.01491, 258.801, -40.5521, 3.38271e-17, -1.47451e-17
0.12, 1.01798, 259.584, -41.3347, 6.50521e-17, 2.81893e-17
0.13, 1.02141, 260.459, -42.2095, 1.06685e-16, 1.77809e-17
0.14, 1.02523, 261.434, -43.1837, 1.30104e-17, 2.73219e-17
0.15, 1.02948, 262.517, -44.2654, 4.77049e-17, 1.82146e-17
0.16, 1.03418, 263.715, -45.4635, 4.85723e-17, 1.73472e-18
0.17, 1.03938, 265.041, -46.788, 8.67362e-17, 2.21177e-17
0.18, 1.04511, 266.504, -48.2499, 2.86229e-17, 2.60209e-18
0.19, 1.05143, 268.115, -49.8604, 7.45931e-17, -2.60209e-18
0.2, 1.05838, 269.886, -51.6311, 4.25007e-17, 6.93889e-18
0.21, 1.06599, 271.828, -53.5718, 4.68375e-17, -9.1073e-18
0.22, 1.07429, 273.944, -55.6889, 5.55112e-17, -8.67362e-19
0.23, 1.08327, 276.235, -57.9805, 5.81132e-17, 4.77049e-18
0.24, 1.09286, 278.679, -60.429, 4.85723e-17, 1.9082e-17
0.25, 1.10286, 281.23, -62.9877, 2.34188e-17, 4.33681e-18
0.26, 1.11289, 283.786, -65.5586, 3.81639e-17, 2.51535e-17
0.27, 1.12221, 286.163, -67.9608, 6.245e-17, 6.07153e-18
0.28, 1.12968, 288.067, -69.9006, 1.10155e-16, 3.46945e-18
0.29, 1.13379, 289.117, -70.9876, 6.07153e-17, 1.64799e-17
0.3, 1.13343, 289.025, -70.9073, 7.28584e-17, 1.43115e-17
0.31, 1.12924, 287.956, -69.8044, 8.1532e-17, 2.34188e-17
0.32, 1.12425, 286.683, -68.4907, 7.80626e-17, 5.0307e-17
0.33, 1.12185, 286.072, -67.8728, 7.1991e-17, 3.20924e-17
0.34, 1.12384, 286.58, -68.3795, 5.37764e-17, 3.1225e-17
0.35, 1.13092, 288.384, -70.2029, 7.45931e-17, 3.85976e-17
0.36, 1.14176, 291.149, -73.0565, 5.55112e-17, 2.12504e-17
0.37, 1.15167, 293.675, -75.692, 8.41341e-17, 3.03577e-17
0.38, 1.155, 294.525, -76.5995, 7.7412e-17, 2.0383e-17
0.39, 1.14914, 293.031, -75.0925, 2.1684e-17, 3.20924e-17
0.4, 1.1366, 289.832, -71.7745, 7.71952e-17, 2.12504e-17
0.41, 1.1265, 287.258, -68.985, 4.42354e-17, 3.36103e-17
0.42, 1.1303, 288.226, -69.9603, 3.29597e-17, 1.38778e-17
0.43, 1.14851, 292.87, -74.7641, 6.93889e-17, 1.30104e-17
0.44, 1.17246, 298.978, -80.9371, 8.76035e-17, 2.47198e-17
0.45, 1.19604, 304.991, -86.9305, 5.11743e-17, 1.69136e-17
0.46, 1.21784, 310.548, -92.4491, 6.50521e-17, 2.38524e-17
0.47, 1.23808, 315.711, -97.6049, 7.45931e-17, 1.71304e-17
0.48, 1.25609, 320.302, -102.213, 6.245e-17, 1.75641e-17
0.49, 1.27027, 323.92, -105.841, 3.98986e-17, 4.35849e-17
0.5, 1.27956, 326.288, -108.201, 5.29091e-17, 2.5804e-17
0.51, 1.28406, 327.434, -109.329, 2.86229e-17, 3.85976e-17
0.52, 1.28467, 327.592, -109.471, 7.28584e-17, 2.38524e-17
0.53, 1.28253, 327.046, -108.916, 7.45931e-17, 4.16334e-17
0.54, 1.27893, 326.127, -107.974, 5.63785e-17, 4.51028e-17
0.55, 1.27596, 325.37, -107.179, 9.19403e-17, 2.05998e-17
0.56, 1.27614, 325.416, -107.228, 8.06646e-17, 6.17995e-17
0.57, 1.27954, 326.283, -108.175, 6.67869e-17, 3.40439e-17
0.58, 1.28263, 327.07, -109.034, 8.50015e-17, 4.55365e-17
0.59, 1.28219, 326.959, -108.908, 4.59702e-17, 4.03323e-17
0.6, 1.27932, 326.227, -108.094, 1.9082e-17, 5.50775e-17
0.61, 1.27872, 326.073, -107.863, 4.85723e-17, 6.00648e-17
0.62, 1.28459, 327.571, -109.368, 5.29091e-17, 4.81386e-17
0.63, 1.29651, 330.61, -112.496, 7.80626e-17, 6.07153e-17
0.64, 1.30974, 333.985, -115.943, 6.67869e-17, 6.02816e-17
0.65, 1.31995, 336.587, -118.556, 9.02056e-17, 4.22839e-17
0.66, 1.32614, 338.165, -120.101, 2.77556e-17, 6.13658e-17
0.67, 1.33002, 339.155, -121.061, 9.62772e-17, 5.22585e-17
0.68, 1.33364, 340.078, -121.981, 8.84709e-17, 7.26415e-17
0.69, 1.33771, 341.117, -123.04, 4.0766e-17, 4.57533e-17
0.7, 1.34162, 342.113, -124.06, 7.80626e-17, 6.57027e-17
0.71, 1.34486, 342.938, -124.844, 4.33681e-18, 5.48606e-17
0.72, 1.3498, 344.2, -126.026, 5.55112e-17, 7.41594e-17
0.73, 1.35944, 346.657, -128.527, 5.37764e-17, 5.50775e-17
0.74, 1.37111, 349.633, -131.61, 6.41848e-17, 4.05492e-17
0.75, 1.37853, 351.525, -133.579, 4.0766e-17, 4.35849e-17
0.76, 1.37711, 351.163, -133.238, 7.71952e-17, 3.01408e-17
0.77, 1.3674, 348.686, -130.619, 8.58688e-17, 5.55112e-17
0.78, 1.35772, 346.219, -128.014, 7.63278e-17, 4.86807e-17
0.79, 1.35475, 345.461, -127.356, 3.90313e-17, 4.18502e-17
0.8, 1.35539, 345.625, -127.547, 9.36751e-17, 4.92228e-17
0.81, 1.35708, 346.055, -127.921, 6.15827e-17, 2.50451e-17
0.82, 1.36118, 347.102, -128.946, 1.0842e-16, 5.2367e-17
0.83, 1.36824, 348.901, -130.766, 6.67869e-17, 5.47522e-17
0.84, 1.37657, 351.025, -132.928, 7.80626e-17, 3.63208e-17
0.85, 1.38378, 352.863, -134.78, 6.85216e-17, 7.32921e-17
0.86, 1.38883, 354.152, -136.047, 4.42354e-17, 4.6946e-17
0.87, 1.39263, 355.12, -136.993, 6.67869e-17, 6.80879e-17
0.88, 1.39617, 356.024, -137.918, 1.1189e-16, 5.58364e-17
0.89, 1.39884, 356.704, -138.631, 7.80626e-17, 7.01479e-17
0.9, 1.39985, 356.963, -138.867, 1.02349e-16, 4.25549e-17
0.91, 1.40068, 357.173, -139.047, 7.97973e-17, 6.70037e-17
0.92, 1.40269, 357.686, -139.603, 7.02563e-17, 9.16151e-17
0.93, 1.40416, 358.06, -140.021, 9.19403e-17, 4.67291e-17
0.94, 1.40286, 357.729, -139.685, 1.16226e-16, 4.5672e-17
0.95, 1.39877, 356.685, -138.616, 7.80626e-17, 2.71593e-17
0.96, 1.39319, 355.263, -137.181, 9.62772e-17, 4.36391e-17
0.97, 1.38711, 353.712, -135.628, 1.23165e-16, 5.52943e-17
0.98, 1.38128, 352.227, -134.122, 1.249e-16, 6.84606e-17
0.99, 1.37763, 351.295, -133.141, 1.17094e-16, 3.77031e-17
1, 1.37968, 351.818, -133.61, 1.30972e-16, 7.14489e-17
1.01, 1.38976, 354.389, -136.278, 1.09288e-16, 7.3265e-17
1.02, 1.40234, 357.597, -139.671, 9.88792e-17, 1.00831e-16
1.03, 1.40788, 359.008, -141.089, 9.19403e-17, 8.18573e-17
1.04, 1.40462, 358.178, -140.123, 9.71445e-17, 4.02239e-17
1.05, 1.3993, 356.821, -138.614, 1.31839e-16, 7.32921e-17
1.06, 1.39968, 356.918, -138.684, 1.52656e-16, 6.54858e-17
1.07, 1.4075, 358.913, -140.751, 1.52656e-16, 5.37764e-17
1.08, 1.41896, 361.834, -143.735, 1.249e-16, 4.94396e-17
1.09, 1.42955, 364.535, -146.478, 1.33574e-16, 7.93636e-17
1.1, 1.4361, 366.205, -148.157, 1.11022e-16, 8.50015e-17
1.11, 1.43763, 366.595, -148.508, 9.54098e-17, 7.80626e-17
1.12, 1.43599, 366.179, -148.027, 1.00614e-16, 6.33174e-17
1.13, 1.4346, 365.822, -147.627, 1.09288e-16, 5.81132e-17
1.14, 1.43572, 366.108, -147.938, 1.14492e-16, 4.25007e-17
1.15, 1.43808, 366.711, -148.634, 1.40513e-16, 7.1991e-17
1.16, 1.43708, 366.455, -148.473, 1.5439e-16, 7.1991e-17
1.17, 1.42805, 364.153, -146.223, 1.249e-16, 6.15827e-17
1.18, 1.40945, 359.409, -141.455, 8.32667e-17, 8.06646e-17
1.19, 1.38491, 353.151, -135.077, 9.88792e-17, 7.11237e-17
1.2, 1.36277, 347.507, -129.339, 1.45717e-16, 6.245e-17
1.21, 1.34972, 344.178, -126.024, 1.21431e-16, 7.63278e-17
1.22, 1.34647, 343.349, -125.229, 1.33574e-16, 5.11743e-17
1.23, 1.35146, 344.622, -126.475, 1.2837e-16, 5.72459e-17
1.24, 1.36423, 347.879, -129.756, 1.42247e-16, 6.85216e-17
1.25, 1.38189, 352.382, -134.348, 1.249e-16, 7.45931e-17
1.26, 1.39879, 356.691, -138.68, 1.21431e-16, 7.02563e-17
1.27, 1.41161, 359.961, -141.931, 1.68268e-16, 6.67869e-17
1.28, 1.4196, 361.999, -143.963, 1.42247e-16, 8.93383e-17
1.29, 1.4223, 362.686, -144.652, 1.47451e-16, 5.81132e-17
1.3, 1.41916, 361.885, -143.863, 1.71738e-16, 9.19403e-17
1.31, 1.4098, 359.499, -141.492, 1.43982e-16, 8.06646e-17
1.32, 1.39539, 355.824, -137.73, 1.64799e-16, 8.93383e-17
1.33, 1.38356, 352.808, -134.467, 1.17961e-16, 9.88792e-17
1.34, 1.38645, 353.546, -135.214, 1.52656e-16, 9.45424e-17
1.35, 1.40365, 357.931, -139.859, 1.64799e-16, 1.0842e-16
1.36, 1.42201, 362.613, -144.659, 1.50921e-16, 1.03867e-16
1.37, 1.43256, 365.302, -147.33, 1.7434e-16, 1.04517e-16
1.38, 1.43402, 365.676, -147.681, 1.78677e-16, 1.11131e-16
1.39, 1.42691, 363.863, -145.915, 1.63064e-16, 1.08474e-16
1.4, 1.40988, 359.519, -141.632, 1.63931e-16, 9.55182e-17
1.41, 1.38342, 352.773, -134.767, 1.51788e-16, 8.64109e-17
1.42, 1.35887, 346.513, -128.177, 1.44849e-16, 1.06035e-16
1.43, 1.35282, 344.968, -126.73, 1.53523e-16, 1.13191e-16
1.44, 1.36349, 347.69, -129.66, 2.05565e-16, 1.15576e-16
1.45, 1.37892, 351.624, -133.648, 1.73472e-16, 1.24141e-16
1.46, 1.39205, 354.973, -137.065, 1.78677e-16, 1.249e-16
1.47, 1.39837, 356.584, -138.653, 1.49186e-16, 1.32381e-16
1.48, 1.39817, 356.533, -138.518, 1.48319e-16, 1.27285e-16
1.49, 1.39573, 355.91, -137.824, 1.58727e-16, 1.16226e-16
1.5, 1.39569, 355.902, -137.759, 1.78677e-16, 1.14166e-16
1.51, 1.40048, 357.122, -139.042, 1.83881e-16, 1.20563e-16
1.52, 1.40666, 358.698, -140.73, 2.05565e-16, 1.22298e-16
1.53, 1.40833, 359.123, -141.167, 1.249e-16, 1.1254e-16
1.54, 1.40424, 358.081, -140.043, 1.91687e-16, 1.17202e-16
1.55, 1.39787, 356.457, -138.372, 1.81279e-16, 1.11564e-16
1.56, 1.39145, 354.819, -136.765, 1.58727e-16, 1.16985e-16
1.57, 1.38399, 352.917, -134.864, 1.7434e-16, 1.17582e-16
1.58, 1.37534, 350.712, -132.619, 1.52656e-16, 1.21702e-16
1.59, 1.36731, 348.665, -130.554, 1.5439e-16, 1.38778e-16
1.6, 1.36109, 347.078, -128.976, 8.1532e-17, 1.50921e-16
1.61, 1.35674, 345.968, -127.862, 1.0842e-16, 1.24466e-16
1.62, 1.3549, 345.5, -127.362, 1.9082e-16, 1.17528e-16
1.63, 1.35722, 346.091, -127.942, 1.77809e-16, 1.07987e-16
1.64, 1.36438, 347.916, -129.781, 1.59161e-16, 1.25767e-16
1.65, 1.37608, 350.9, -132.735, 2.15973e-16, 1.30104e-16
1.66, 1.3927, 355.138, -136.986, 1.92988e-16, 1.40513e-16
1.67, 1.41192, 360.039, -141.977, 1.77375e-16, 1.27502e-16
1.68, 1.42798, 364.136, -146.106, 1.83881e-16, 1.21431e-16
1.69, 1.43729, 366.509, -148.452, 2.28983e-16, 1.38778e-16
1.7, 1.43979, 367.147, -149.053, 2.35272e-16, 1.04951e-16
1.71, 1.43698, 366.429, -148.295, 1.95156e-16, 9.28077e-17
1.72, 1.431, 364.905, -146.727, 1.97758e-16, 1.22298e-16
1.73, 1.42431, 363.198, -144.992, 2.6628e-16, 1.20563e-16
1.74, 1.41854, 361.728, -143.531, 1.91253e-16, 1.06685e-16
1.75, 1.41351, 360.445, -142.296, 2.64545e-16, 1.10155e-16
1.76, 1.40698, 358.78, -140.713, 1.81495e-16, 1.2837e-16
1.77, 1.39547, 355.846, -137.853, 2.06215e-16, 1.46584e-16
1.78, 1.37769, 351.311, -133.245, 1.43982e-16, 1.33574e-16
1.79, 1.36044, 346.912, -128.642, 2.37874e-16, 1.14492e-16
1.8, 1.35419, 345.319, -127.088, 1.53089e-16, 1.06685e-16
1.81, 1.35926, 346.612, -128.47, 2.72352e-16, 1.30104e-16
1.82, 1.37056, 349.492, -131.363, 1.00614e-16, 1.15359e-16
1.83, 1.3845, 353.046, -134.986, 2.40259e-16, 1.2837e-16
1.84, 1.39625, 356.043, -138.037, 1.92337e-16, 1.37043e-16
1.85, 1.40203, 357.517, -139.493, 1.97325e-16, 1.12757e-16
1.86, 1.40249, 357.636, -139.524, 1.53089e-16, 1.36176e-16
1.87, 1.40212, 357.541, -139.38, 1.76725e-16, 1.37043e-16
1.88, 1.4029, 357.74, -139.734, 1.88001e-16, 1.29237e-16
1.89, 1.3982, 356.542, -138.759, 1.86049e-16, 1.44849e-16
1.9, 1.38223, 352.469, -134.49, 1.85615e-16, 1.31839e-16
1.91, 1.36701, 348.587, -130.498, 2.32019e-16, 1.38778e-16
1.92, 1.3559, 345.753, -128.188, 1.35525e-16, 1.33574e-16
1.93, 1.33471, 340.352, -122.367, 1.59161e-16, 1.17094e-16
1.94, 1.32363, 337.526, -119.092, 1.7087e-16, 1.12757e-16
1.95, 1.33879, 341.391, -123.487, 1.87784e-16, 1.23165e-16
1.96, 1.35895, 346.532, -128.598, 2.34405e-16, 1.22298e-16
1.97, 1.37549, 350.75, -132.719, 2.08817e-16, 1.19696e-16
1.98, 1.39005, 354.463, -136.416, 1.83881e-16, 1.20563e-16
1.99, 1.40232, 357.591, -139.553, 1.93422e-16, 1.33574e-16
2, 1.41074, 359.74, -141.72, 2.19443e-16, 1.23165e-16
2.01, 1.41374, 360.504, -142.503, 1.76508e-16, 1.22298e-16
2.02, 1.41048, 359.673, -141.662, 2.086e-16, 1.4138e-16
2.03, 1.4021, 357.536, -139.483, 1.68268e-16, 1.35308e-16
2.04, 1.39155, 354.846, -136.756, 1.55691e-16, 1.25767e-16
2.05, 1.38216, 352.45, -134.306, 1.83447e-16, 1.19696e-16
2.06, 1.37752, 351.267, -133.082, 1.67834e-16, 1.24033e-16
2.07, 1.37921, 351.699, -133.592, 1.65666e-16, 1.35308e-16
2.08, 1.3832, 352.717, -134.741, 1.60028e-16, 1.20563e-16
2.09, 1.38358, 352.812, -134.851, 1.72171e-16, 1.31839e-16
2.1, 1.37968, 351.817, -133.791, 1.84748e-16, 1.53523e-16
2.11, 1.37563, 350.786, -132.657, 1.65232e-16, 1.12757e-16
2.12, 1.37722, 351.19, -132.993, 1.76508e-16, 8.67362e-17
2.13, 1.38607, 353.447, -135.362, 1.86483e-16, 1.40513e-16
2.14, 1.39659, 356.131, -138.059, 2.02529e-16, 1.38778e-16
2.15, 1.40593, 358.511, -140.375, 1.92121e-16, 1.26635e-16
2.16, 1.41546, 360.943, -142.796, 2.02963e-16, 1.30972e-16
2.17, 1.42512, 363.404, -145.305, 1.84314e-16, 1.40513e-16
2.18, 1.43203, 365.166, -147.131, 2.05998e-16, 1.07553e-16
2.19, 1.43287, 365.382, -147.373, 1.43982e-16, 1.29237e-16
2.2, 1.42714, 363.921, -145.842, 1.83447e-16, 1.19696e-16
2.21, 1.41935, 361.933, -143.749, 1.94289e-16, 1.18829e-16
2.22, 1.41494, 360.81, -142.645, 1.78243e-16, 1.13624e-16
2.23, 1.41406, 360.585, -142.474, 1.58294e-16, 1.33574e-16
2.24, 1.41401, 360.573, -142.484, 1.71738e-16, 1.11022e-16
2.25, 1.4131, 360.339, -142.274, 1.75641e-16, 1.26635e-16
2.26, 1.41007, 359.568, -141.521, 1.96024e-16, 1.15359e-16
2.27, 1.4045, 358.147, -140.064, 2.01662e-16, 1.38778e-16
2.28, 1.39903, 356.752, -138.549, 2.01662e-16, 1.20563e-16
2.29, 1.3994, 356.846, -138.597, 1.60028e-16, 1.37043e-16
2.3, 1.40742, 358.891, -140.739, 1.60896e-16, 1.27502e-16
2.31, 1.41825, 361.653, -143.571, 2.18141e-16, 1.48319e-16
2.32, 1.42743, 363.994, -145.891, 1.78677e-16, 1.16226e-16
2.33, 1.4348, 365.874, -147.729, 1.58727e-16, 1.34441e-16
2.34, 1.44171, 367.636, -149.498, 2.25514e-16, 1.25767e-16
2.35, 1.44775, 369.177, -151.071, 1.52656e-16, 1.22298e-16
2.36, 1.45156, 370.147, -152.039, 1.70437e-16, 1.02349e-16
2.37, 1.45318, 370.562, -152.441, 1.64365e-16, 1.26635e-16
