rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0
0.8125, 0
0.9375, 0.151756
1.0625, 2.31229
1.1875, 2.5826
1.3125, 1.80067
1.4375, 1.30385
1.5625, 1.0456
1.6875, 0.942163
1.8125, 0.864888
1.9375, 0.856472
2.0625, 0.952011
2.1875, 1.11422
2.3125, 1.11252
2.4375, 1.11356
2.5625, 0.995016
2.6875, 1.0431
2.8125, 1.02676
2.9375, 0.960989
3.0625, 0.954363
3.1875, 0.991435
3.3125, 0.980896
3.4375, 0.964727
3.5625, 0.943619
3.6875, 0.966019
3.8125, 0.997563
3.9375, 0.978349
4.0625, 0.972743
4.1875, 0.966427
4.3125, 0.98993
4.4375, 0.99461
4.5625, 0.96487
4.6875, 1.00717
4.8125, 0.987647
4.9375, 1.01126
5.0625, 1.02803
5.1875, 0.997043
5.3125, 0.98045
5.4375, 1.0065
5.5625, 0.979628
5.6875, 0.99206
5.8125, 1.0144
5.9375, 1.02066
6.0625, 1.00438
6.1875, 0.971001
6.3125, 0.993927
6.4375, 0.982492
6.5625, 1.00032
6.6875, 0.989783
6.8125, 1.0321
6.9375, 0.985582
7.0625, 0.985382
7.1875, 0.994431
7.3125, 0.996147
7.4375, 1.01467
7.5625, 1.0161
7.6875, 0.991258
7.8125, 1.00304
7.9375, 1.01574
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
