rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0.110049
0.8125, 0.830462
0.9375, 1.13647
1.0625, 1.1258
1.1875, 1.07724
1.3125, 1.05783
1.4375, 1.03969
1.5625, 1.01472
1.6875, 1.00993
1.8125, 1.01681
1.9375, 0.994254
2.0625, 1.00893
2.1875, 1.01221
2.3125, 1.03797
2.4375, 1.03465
2.5625, 1.01657
2.6875, 0.999364
2.8125, 1.00927
2.9375, 1.02434
3.0625, 1.02514
3.1875, 1.02842
3.3125, 1.02432
3.4375, 1.0208
3.5625, 1.01192
3.6875, 1.00926
3.8125, 1.00676
3.9375, 1.00792
4.0625, 1.01037
4.1875, 1.01748
4.3125, 1.02064
4.4375, 1.00919
4.5625, 1.00437
4.6875, 0.996941
4.8125, 1.01026
4.9375, 1.01331
5.0625, 1.01427
5.1875, 1.00963
5.3125, 1.00623
5.4375, 1.00785
5.5625, 1.02119
5.6875, 1.01939
5.8125, 1.01987
5.9375, 1.00033
6.0625, 1.00055
6.1875, 1.00013
6.3125, 1.01758
6.4375, 1.01557
6.5625, 1.00919
6.6875, 0.998614
6.8125, 0.990298
6.9375, 1.00163
7.0625, 1.00848
7.1875, 1.01051
7.3125, 1.02019
7.4375, 1.0068
7.5625, 1.00454
7.6875, 1.00322
7.8125, 1.00706
7.9375, 0.999716
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
