t, T, Ekin, Epot, vS.x, vS.y
100, 0.670549, 42.2446, -50.7664, 1.23512e-15, 3.14332e-15
100.001, 0.67109, 42.2786, -50.8004, 1.19349e-15, 3.18842e-15
100.002, 0.671606, 42.3112, -50.833, 1.22818e-15, 3.22312e-15
100.003, 0.672097, 42.3421, -50.8639, 1.20043e-15, 3.18148e-15
100.004, 0.672562, 42.3714, -50.8932, 1.19349e-15, 3.16067e-15
100.005, 0.673, 42.399, -50.9208, 1.20737e-15, 3.16414e-15
100.006, 0.673409, 42.4248, -50.9466, 1.17267e-15, 3.18842e-15
100.007, 0.67379, 42.4488, -50.9706, 1.19349e-15, 3.19536e-15
100.008, 0.674141, 42.4709, -50.9927, 1.19349e-15, 3.21618e-15
100.009, 0.674462, 42.4911, -51.0129, 1.23512e-15, 3.16761e-15
100.01, 0.674753, 42.5094, -51.0312, 1.20043e-15, 3.22659e-15
100.011, 0.675012, 42.5258, -51.0476, 1.20737e-15, 3.18495e-15
100.012, 0.67524, 42.5401, -51.0619, 1.21431e-15, 3.19189e-15
100.013, 0.675436, 42.5525, -51.0743, 1.18655e-15, 3.16067e-15
100.014, 0.675599, 42.5628, -51.0846, 1.18655e-15, 3.18842e-15
100.015, 0.675731, 42.571, -51.0929, 1.20043e-15, 3.18148e-15
100.016, 0.67583, 42.5773, -51.0991, 1.18655e-15, 3.20924e-15
100.017, 0.675896, 42.5815, -51.1033, 1.20737e-15, 3.21965e-15
100.018, 0.67593, 42.5836, -51.1054, 1.20737e-15, 3.18842e-15
100.019, 0.675931, 42.5836, -51.1054, 1.22818e-15, 3.20577e-15
100.02, 0.675899, 42.5816, -51.1035, 1.21431e-15, 3.23699e-15
100.021, 0.675835, 42.5776, -51.0994, 1.23512e-15, 3.21271e-15
100.022, 0.675738, 42.5715, -51.0933, 1.22818e-15, 3.2023e-15
100.023, 0.675609, 42.5634, -51.0852, 1.24206e-15, 3.21965e-15
100.024, 0.675448, 42.5532, -51.075, 1.22818e-15, 3.20924e-15
100.025, 0.675255, 42.5411, -51.0629, 1.18655e-15, 3.18495e-15
100.026, 0.67503, 42.5269, -51.0487, 1.20043e-15, 3.22659e-15
100.027, 0.674773, 42.5107, -51.0325, 1.20043e-15, 3.22312e-15
100.028, 0.674484, 42.4925, -51.0143, 1.18655e-15, 3.18842e-15
100.029, 0.674165, 42.4724, -50.9942, 1.22125e-15, 3.20924e-15
100.03, 0.673814, 42.4503, -50.9721, 1.21431e-15, 3.23699e-15
100.031, 0.673433, 42.4263, -50.9481, 1.19349e-15, 3.21965e-15
100.032, 0.673021, 42.4003, -50.9221, 1.19349e-15, 3.22659e-15
100.033, 0.672579, 42.3725, -50.8943, 1.17267e-15, 3.23006e-15
100.034, 0.672106, 42.3427, -50.8645, 1.21431e-15, 3.18842e-15
100.035, 0.671604, 42.311, -50.8328, 1.20737e-15, 3.21271e-15
100.036, 0.671072, 42.2775, -50.7993, 1.20737e-15, 3.22659e-15
100.037, 0.67051, 42.2421, -50.7639, 1.20043e-15, 3.17454e-15
100.038, 0.669919, 42.2049, -50.7267, 1.1588e-15, 3.2023e-15
100.039, 0.669298, 42.1658, -50.6876, 1.17961e-15, 3.21965e-15
100.04, 0.668649, 42.1249, -50.6467, 1.16573e-15, 3.21965e-15
100.041, 0.66797, 42.0821, -50.6039, 1.20737e-15, 3.24046e-15
100.042, 0.667262, 42.0375, -50.5593, 1.20043e-15, 3.20577e-15
