t, T, Ekin, Epot, vS.x, vS.y
100, 1.46424, 92.2471, -38.3988, -4.85723e-17, 5.16948e-16
100.001, 1.46559, 92.3324, -38.4842, 1.04083e-17, 5.06539e-16
100.002, 1.46699, 92.4201, -38.572, 2.08167e-17, 5.16948e-16
100.003, 1.46839, 92.5086, -38.6606, 4.51028e-17, 5.10009e-16
100.004, 1.46979, 92.5965, -38.7486, 4.16334e-17, 4.71845e-16
100.005, 1.47115, 92.6825, -38.8346, 6.59195e-17, 5.37764e-16
100.006, 1.47247, 92.7653, -38.9176, 3.46945e-17, 4.54498e-16
100.007, 1.47372, 92.8441, -38.9963, 2.77556e-17, 5.13478e-16
100.008, 1.47489, 92.9178, -39.0701, -3.46945e-18, 4.71845e-16
100.009, 1.47597, 92.9858, -39.1381, 3.81639e-17, 5.30825e-16
100.01, 1.47694, 93.0475, -39.1999, -1.38778e-17, 4.92661e-16
100.011, 1.47782, 93.1024, -39.2548, -2.08167e-17, 4.23273e-16
100.012, 1.47858, 93.1503, -39.3026, 4.85723e-17, 5.23886e-16
100.013, 1.47922, 93.1909, -39.3432, 5.20417e-17, 5.41234e-16
100.014, 1.47975, 93.2241, -39.3764, 7.28584e-17, 4.57967e-16
100.015, 1.48016, 93.25, -39.4023, 2.77556e-17, 5.16948e-16
100.016, 1.48045, 93.2686, -39.4209, 3.1225e-17, 5.44703e-16
100.017, 1.48064, 93.2802, -39.4325, 2.77556e-17, 5.10009e-16
100.018, 1.48071, 93.285, -39.4373, 2.77556e-17, 5.16948e-16
100.019, 1.48069, 93.2833, -39.4355, 1.73472e-17, 5.41234e-16
100.02, 1.48056, 93.2755, -39.4277, 4.51028e-17, 4.68375e-16
100.021, 1.48035, 93.2619, -39.4141, 3.46945e-18, 5.06539e-16
100.022, 1.48005, 93.243, -39.3952, 4.85723e-17, 5.30825e-16
100.023, 1.47967, 93.2193, -39.3714, 2.42861e-17, 4.75314e-16
100.024, 1.47922, 93.191, -39.3431, 4.51028e-17, 4.71845e-16
