rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0
0.8125, 0
0.9375, 0
1.0625, 16.2692
1.1875, 4.13676
1.3125, 0.0439221
1.4375, 0.0311146
1.5625, 0.136943
1.6875, 0.228794
1.8125, 0.271099
1.9375, 7.73248
2.0625, 0.231416
2.1875, 5.64171
2.3125, 1.10618
2.4375, 0.0724608
2.5625, 0.26321
2.6875, 0.324771
2.8125, 0.549227
2.9375, 5.87941
3.0625, 0.685002
3.1875, 0.429084
3.3125, 2.26902
3.4375, 0.484861
3.5625, 0.0988838
3.6875, 0.480073
3.8125, 1.3978
3.9375, 1.93283
4.0625, 1.96503
4.1875, 0.345366
4.3125, 0.334968
4.4375, 1.10348
4.5625, 0.282734
4.6875, 0.40317
4.8125, 1.56549
4.9375, 0.883666
5.0625, 1.43355
5.1875, 0.635074
5.3125, 0.298723
5.4375, 0.368734
5.5625, 0.773618
5.6875, 0.773769
5.8125, 1.23501
5.9375, 0.894882
6.0625, 0.641056
6.1875, 1.00783
6.3125, 0.383295
6.4375, 0.39689
6.5625, 0.526163
6.6875, 1.21636
6.8125, 0.910846
6.9375, 0.992097
7.0625, 0.63317
7.1875, 0.624714
7.3125, 0.728618
7.4375, 0.560802
7.5625, 0.76504
7.6875, 1.07185
7.8125, 1.05985
7.9375, 0.83932
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
