rBin, g
0.0625, 0
0.1875, 0
0.3125, 0
0.4375, 0
0.5625, 0
0.6875, 0.121084
0.8125, 0.821064
0.9375, 1.07851
1.0625, 1.11399
1.1875, 1.08871
1.3125, 1.04116
1.4375, 1.00495
1.5625, 0.991919
1.6875, 0.984807
1.8125, 1.00272
1.9375, 1.01257
2.0625, 1.02088
2.1875, 1.01873
2.3125, 1.00862
2.4375, 0.998728
2.5625, 1.00415
2.6875, 0.998043
2.8125, 0.989474
2.9375, 1.01075
3.0625, 1.01021
3.1875, 1.01538
3.3125, 1.01
3.4375, 1.01969
3.5625, 1.01107
3.6875, 1.0036
3.8125, 1.00156
3.9375, 1.0012
4.0625, 1.00796
4.1875, 1.00954
4.3125, 1.01357
4.4375, 1.00375
4.5625, 1.00278
4.6875, 0.997785
4.8125, 1.00658
4.9375, 1.01239
5.0625, 1.00742
5.1875, 1.00049
5.3125, 1.00912
5.4375, 1.01446
5.5625, 1.01567
5.6875, 1.01016
5.8125, 0.997782
5.9375, 1.01275
6.0625, 1.01207
6.1875, 1.0158
6.3125, 1.00695
6.4375, 1.00747
6.5625, 0.997557
6.6875, 1.01265
6.8125, 1.0052
6.9375, 1.01466
7.0625, 1.0103
7.1875, 1.01047
7.3125, 1.00488
7.4375, 1.00055
7.5625, 0.996362
7.6875, 1.00968
7.8125, 1.00623
7.9375, 1.0111
8.0625, 0
8.1875, 0
8.3125, 0
8.4375, 0
8.5625, 0
8.6875, 0
8.8125, 0
8.9375, 0
9.0625, 0
9.1875, 0
9.3125, 0
9.4375, 0
9.5625, 0
9.6875, 0
9.8125, 0
9.9375, 0
10.0625, 0
10.1875, 0
10.3125, 0
10.4375, 0
10.5625, 0
10.6875, 0
10.8125, 0
10.9375, 0
11.0625, 0
11.1875, 0
11.3125, 0
11.4375, 0
11.5625, 0
11.6875, 0
11.8125, 0
11.9375, 0
12.0625, 0
12.1875, 0
12.3125, 0
12.4375, 0
12.5625, 0
12.6875, 0
12.8125, 0
12.9375, 0
13.0625, 0
13.1875, 0
13.3125, 0
13.4375, 0
13.5625, 0
13.6875, 0
13.8125, 0
13.9375, 0
14.0625, 0
14.1875, 0
14.3125, 0
14.4375, 0
14.5625, 0
14.6875, 0
14.8125, 0
14.9375, 0
15.0625, 0
15.1875, 0
15.3125, 0
15.4375, 0
15.5625, 0
15.6875, 0
15.8125, 0
15.9375, 0
