t, T, Ekin, Epot, vS.x, vS.y
100, 0.01, 0.63, -145.002, 1.01915e-16, -3.46945e-18
100.001, 0.01, 0.63, -145.002, 1.02782e-16, -1.30104e-18
100.002, 0.01, 0.63, -145.002, 1.00614e-16, 3.90313e-18
100.003, 0.01, 0.63, -145.002, 1.01048e-16, 4.33681e-19
100.004, 0.01, 0.63, -145.002, 1.01915e-16, -1.30104e-18
100.005, 0.01, 0.63, -145.002, 1.04517e-16, -3.03577e-18
100.006, 0.01, 0.63, -145.002, 1.02349e-16, 4.33681e-19
100.007, 0.01, 0.63, -145.001, 1.01481e-16, -8.67362e-19
100.008, 0.01, 0.63, -145.001, 9.75782e-17, 1.30104e-18
100.009, 0.01, 0.63, -145.001, 1.01048e-16, -4.33681e-19
100.01, 0.01, 0.63, -145.001, 9.80119e-17, -4.33681e-18
100.011, 0.01, 0.63, -145.001, 9.71445e-17, -3.03577e-18
100.012, 0.01, 0.63, -145.001, 9.62772e-17, -1.30104e-18
100.013, 0.01, 0.63, -145.001, 9.84456e-17, 8.67362e-19
100.014, 0.01, 0.63, -145.001, 9.67108e-17, 1.73472e-18
100.015, 0.01, 0.63, -145, 9.71445e-17, 2.1684e-18
100.016, 0.01, 0.63, -145, 9.84456e-17, -2.1684e-18
100.017, 0.01, 0.63, -145, 9.80119e-17, 1.30104e-18
100.018, 0.01, 0.63, -145, 9.67108e-17, 2.1684e-18
100.019, 0.01, 0.63, -145, 9.80119e-17, 1.30104e-18
100.02, 0.01, 0.63, -145, 9.71445e-17, 3.90313e-18
100.021, 0.01, 0.63, -144.999, 1.00614e-16, -8.67362e-19
100.022, 0.01, 0.63, -144.999, 9.88792e-17, -1.73472e-18
100.023, 0.01, 0.63, -144.999, 9.84456e-17, 8.67362e-19
100.024, 0.01, 0.63, -144.999, 9.71445e-17, -1.30104e-18
100.025, 0.01, 0.63, -144.998, 9.67108e-17, -3.03577e-18
100.026, 0.01, 0.63, -144.998, 9.71445e-17, -3.46945e-18
100.027, 0.01, 0.63, -144.998, 9.84456e-17, -2.1684e-18
100.028, 0.01, 0.63, -144.998, 9.75782e-17, -4.33681e-19
100.029, 0.01, 0.63, -144.997, 9.71445e-17, 0
100.03, 0.01, 0.63, -144.997, 9.54098e-17, 0
100.031, 0.01, 0.63, -144.997, 9.62772e-17, 2.1684e-18
100.032, 0.01, 0.63, -144.997, 9.45424e-17, -2.1684e-18
