t, T, Ekin, Epot, vS.x, vS.y
100, 1, 63, -43.8487, 2.10422e-15, 1.07726e-15
100.001, 1, 63, -43.8591, 2.05738e-15, 1.12497e-15
100.002, 1, 63, -43.8674, 2.02269e-15, 1.07206e-15
100.003, 1, 63, -43.8731, 2.01054e-15, 1.06685e-15
100.004, 1, 63, -43.8759, 1.98452e-15, 1.10068e-15
100.005, 1, 63, -43.8752, 2.04871e-15, 1.07379e-15
100.006, 1, 63, -43.8707, 2.00534e-15, 1.0417e-15
100.007, 1, 63, -43.8618, 2.01228e-15, 1.05384e-15
100.008, 1, 63, -43.8481, 2.0331e-15, 1.05471e-15
100.009, 1, 63, -43.8292, 2.03483e-15, 1.04604e-15
100.01, 1, 63, -43.8046, 2.00361e-15, 1.05992e-15
100.011, 1, 63, -43.7741, 2.07473e-15, 1.08594e-15
100.012, 1, 63, -43.7373, 2.02442e-15, 1.08767e-15
100.013, 1, 63, -43.6939, 2.04871e-15, 1.06078e-15
100.014, 1, 63, -43.6435, 2.00881e-15, 1.05992e-15
100.015, 1, 63, -43.5861, 1.98626e-15, 1.06425e-15
100.016, 1, 63, -43.5216, 2.01922e-15, 1.04691e-15
100.017, 1, 63, -43.4498, 2.00881e-15, 1.08767e-15
100.018, 1, 63, -43.3707, 1.98973e-15, 1.05471e-15
100.019, 1, 63, -43.2846, 1.96197e-15, 1.05992e-15
100.02, 1, 63, -43.1916, 2.02269e-15, 1.06512e-15
100.021, 1, 63, -43.092, 2.02963e-15, 1.07206e-15
100.022, 1, 63, -42.9863, 2.03657e-15, 1.0365e-15
100.023, 1, 63, -42.875, 1.98973e-15, 1.079e-15
100.024, 1, 63, -42.7588, 2.03657e-15, 1.05471e-15
100.025, 1, 63, -42.6385, 2.02269e-15, 1.03563e-15
100.026, 1, 63, -42.5149, 1.98452e-15, 1.05124e-15
100.027, 1, 63, -42.3893, 1.92034e-15, 1.0391e-15
100.028, 1, 63, -42.2626, 1.93595e-15, 1.02262e-15
100.029, 1, 63, -42.1361, 1.96718e-15, 1.00267e-15
100.03, 1, 63, -42.0114, 1.98279e-15, 1.02349e-15
100.031, 1, 63, -41.8896, 1.94289e-15, 9.93997e-16
100.032, 1, 63, -41.7725, 1.96544e-15, 1.06859e-15
100.033, 1, 63, -41.6615, 2.00534e-15, 1.00874e-15
100.034, 1, 63, -41.5581, 2.02269e-15, 1.02696e-15
100.035, 1, 63, -41.4639, 1.98626e-15, 1.05211e-15
100.036, 1, 63, -41.3804, 2.01228e-15, 1.06512e-15
100.037, 1, 63, -41.309, 2.00708e-15, 1.04257e-15
100.038, 1, 63, -41.2508, 2.00881e-15, 1.03997e-15
100.039, 1, 63, -41.2071, 2.0383e-15, 1.06165e-15
100.04, 1, 63, -41.1788, 2.01575e-15, 1.07987e-15
100.041, 1, 63, -41.1666, 2.00361e-15, 1.09635e-15
100.042, 1, 63, -41.1711, 2.02095e-15, 1.05645e-15
100.043, 1, 63, -41.1924, 2.00014e-15, 1.09548e-15
100.044, 1, 63, -41.2307, 2.0331e-15, 1.09461e-15
100.045, 1, 63, -41.2857, 1.95503e-15, 1.05731e-15
100.046, 1, 63, -41.357, 2.01054e-15, 1.11629e-15
100.047, 1, 63, -41.4438, 1.9984e-15, 1.08854e-15
100.048, 1, 63, -41.5454, 2.02616e-15, 1.05992e-15
100.049, 1, 63, -41.6606, 2.02789e-15, 1.11022e-15
